Time (min),iHold (pA),Ra (MOhm),Rm (MOhm),tagTime,windowAvg,timeAvgSlopes,avgSlopes,,regressionSlopes,,,,,
0,-4.63465,29.08024,2631.42118,5,10,0.75,-1.274472,,-0.648013287,-5.308737035,,-0.190227812,-0.88163933,-5.256854863
0.16667,-5.51081,27.95089,2990.2367,,,0.916667,-0.708504,,-0.499472711,-5.549308849,,,,
0.33333,-5.66655,27.69833,1693.43182,,,1.083333,0.456468,,-0.524948227,-5.556549263,,,,
0.5,-5.79674,27.55917,3771.00195,,,1.25,2.154108,,0.057629597,-6.121201996,,,,
0.66667,-7.6818,27.72184,3388.48876,,,1.416667,4.869858,,1.416183368,-7.696407244,,,,
0.83333,-3.8968,27.34242,2880.88906,,,1.583333,-0.027672,,2.623988931,-9.033152267,,,,
1,-6.69579,27.57184,2071.85158,,,1.75,1.145238,,3.322869828,-10.6981382,,,,
1.16667,-5.71098,26.9366,4387.26878,,,1.916667,0.216654,,2.629229854,-9.731601096,,,,
1.33333,-6.10336,26.30699,2972.34312,,,2.083333,-0.157428,,2.00650807,-8.836358478,,,,
1.5,-6.24999,27.24491,5203.18245,,,2.25,0.968082,,0.868110869,-6.635621456,,,,
1.66667,-6.75877,26.53166,3385.70128,,,2.416667,0.866394,,0.256068161,-5.139856475,,,,
1.83333,-6.69165,26.49262,1752.5533,,,2.583333,2.750238,,-0.898798743,-2.054729547,,,,
2,-4.90577,26.07413,2481.49879,,,2.75,-0.423684,,-1.082328338,-0.94185007,,,,
2.16667,-2.20656,25.72118,1739.36343,,,2.916667,-1.298022,,-2.031622192,1.936698405,,,,
2.33333,0.43463,25.15538,1218.57909,,,3.083333,-2.882688,,-1.4434137,0.245321095,,,,
2.5,-3.94292,25.60241,1477.74253,,,3.25,0.4962,,0.358641975,-5.851238418,,,,
2.66667,-4.78706,25.00775,2425.21197,,,3.416667,1.598346,,1.169466038,-8.598628021,,,,
2.83333,-5.34989,25.05066,1478.22366,,,3.583333,0.607962,,1.907390914,-11.1713778,,,,
